,Brand,Model,Seating_Capacity,Body_Type,Variant_Number,Fuel_Type,Transmission,Available_Colors,On_Road_Pric,Delivery_Days,Location
0,Hyundai,Creta,5,SUV,1,Petrol,Manual,11,12.84,11,Gurgaon
1,Hyundai,Venue,5,SUV,1,Petrol,Manual,4,9.17,11,Gurgaon
2,Kia,Sonet,5,SUV,1,Petrol,Manual,7,9.55,11,Gurgaon
3,Kia,Syros,5,SUV,1,Petrol,Manual,8,10.66,11,Gurgaon
4,Maruti Suzuki,Baleno,5,Hatchback,1,Petrol,Manual,6,7.63,11,Gurgaon
5,Maruti Suzuki,Brezza,5,SUV,1,Petrol,Manual,7,11.17,11,Gurgaon
6,Maruti Suzuki,Grand Vitara,5,SUV,1,Petrol,Manual,,12.89,11,Gurgaon
7,Mahindra,XUV700,7,SUV,1,Petrol,Manual,5,21.73,11,Gurgaon
8,Mahindra,Scorpio-N,7,SUV,1,Petrol,Manual,7,24.67,8,Gurgaon
9,Tata,Punch,5,SUV,1,Petrol,Manual,2,6.73,11,Gurgaon
10,Tata,Nexon,5,SUV,1,Petrol,Manual,2,9.13,11,Gurgaon
11,Tata,Curvv EV,5,SUV,1,Electric,Automatic,4,20.28,42,Gurgaon
12,Hyundai,Grand i10 Nios,5,Hatchback,1,Petrol,Manual,3,6.80,11,Gurgaon
13,Hyundai,Aura,5,Sedan,1,CNG,Manual,,8.63,11,Gurgaon
14,Maruti Suzuki,Wagon R,5,Hatchback,1,Petrol,Manual,3,6.35,11,Gurgaon
15,Maruti Suzuki,Swift,5,Hatchback,1,Petrol,Manual,4,7.39,11,Gurgaon
16,Tata,Altroz (2020-2025),5,Hatchback,1,Petrol,Manual,4,9.13,11,Gurgaon
17,Renault,Kiger,5,SUV,1,Petrol,Manual,5,7.13,11,Gurgaon
18,Renault,Triber,7,MUV,1,Petrol,Manual,2,7.12,11,Gurgaon
19,Renault,Kwid,5,Hatchback,1,Petrol,Manual,5,5.79,11,Gurgaon
20,Honda,City,5,Sedan,1,Petrol,Manual,6,15.01,11,Gurgaon
21,Maruti Suzuki,Ertiga,7,SUV,1,CNG,Manual,6,12.28,70,Gurgaon
22,Toyota,Glanza,5,Hatchback,1,Petrol,Manual,5,11.14,8,Gurgaon
23,Hyundai,i20 N Line,5,Hatchback,1,Petrol,Manual,7,13.06,11,Gurgaon
24,Tata,Nexon EV,5,SUV,1,Electric,Automatic,4,14.84,28,Gurgaon
25,Maruti Suzuki,XL6,6,SUV,1,Petrol,Manual,6,13.38,11,Gurgaon
26,Maruti Suzuki,Celerio,5,Hatchback,1,Petrol,Manual,6,5.92,11,Gurgaon
27,Maruti Suzuki,Alto K10,5,Hatchback,1,Petrol,Manual,6,5.45,11,Gurgaon
28,Hyundai,Venue N-Line,5,SUV,1,Petrol,Manual,5,14.01,90,Gurgaon
29,Maruti Suzuki,Eeco,5,Van,1,Petrol,Manual,5,6.60,11,Gurgaon
30,Toyota,Innova Crysta,8,SUV,1,Diesel,Manual,5,23.06,84,Gurgaon
31,Kia,Seltos,5,SUV,1,Petrol,Manual,7,12.73,11,Gurgaon
32,Toyota,Rumion,7,SUV,1,Petrol,Manual,5,12.07,8,Gurgaon
33,Kia,Carens,7,SUV,1,Petrol,Manual,7,12.95,11,Gurgaon
34,Honda,Elevate,5,SUV,1,Petrol,Manual,7,14.26,11,Gurgaon
35,Toyota,Urban Cruiser Hyryder,5,SUV,1,Petrol,Manual,7,14.75,8,Gurgaon
36,Skoda,Slavia,5,Sedan,1,Petrol,Manual,4,15.66,11,Gurgaon
37,Skoda,Kushaq,5,SUV,1,Petrol,Automatic,4,18.25,11,Gurgaon
38,Hyundai,Exter,5,SUV,1,Petrol,Manual,,6.81,11,Gurgaon
39,Maruti Suzuki,Fronx,5,SUV,1,Petrol,Manual,6,8.53,11,Gurgaon
40,Maruti Suzuki,Invicto,7,SUV,1,Petrol,Automatic,4,29.32,90,Gurgaon
41,Hyundai,Verna,5,Sedan,1,Petrol,Automatic,7,18.78,8,Gurgaon
42,Tata,Harrier,5,SUV,1,Diesel,Manual,2,21.57,11,Gurgaon
43,MG,Astor,5,SUV,1,Petrol,Manual,2,12.92,11,Gurgaon
44,Tata,Punch EV,5,SUV,1,Electric,Automatic,,10.60,28,Gurgaon
45,Tata,Safari,7,SUV,1,Diesel,Automatic,2,22.86,11,Gurgaon
46,Mahindra,Bolero Neo,7,SUV,1,Diesel,Manual,5,11.84,42,Gurgaon
47,Mahindra,XUV 3XO,5,SUV,1,Diesel,Manual,7,13.05,8,Gurgaon
48,Toyota,Fortuner Legender,7,SUV,1,Diesel,Automatic,,51.72,42,Gurgaon
49,Maruti Suzuki,Ignis,5,Hatchback,1,Petrol,Manual,6,6.51,11,Gurgaon
50,MG,Hector,5,SUV,1,Petrol,Manual,3,19.20,11,Gurgaon
51,Mahindra,Scorpio Classic,7,SUV,1,Diesel,Manual,3,16.32,42,Gurgaon
52,Tata,Curvv,5,SUV,1,Diesel,Manual,2,13.12,11,Gurgaon
53,Hyundai,i20,5,Hatchback,1,Petrol,Manual,6,9.00,11,Gurgaon
54,Hyundai,IONIQ 5,5,SUV,,Electric,Automatic,3,49.11,60,Gurgaon
