,Brand,Model,Seating_Capacity,Body_Type,Variant_Number,Fuel_Type,Transmission,Available_Colors,On_Road_Pric,Delivery_Days,Location
0,Tata,Nexon,5,SUV,1,Petrol,Manual,4,10.97,11,Bangalore
1,Tata,Punch,5,SUV,1,Petrol,Manual,2,7.72,11,Bangalore
2,Maruti Suzuki,Swift,5,Hatchback,1,Petrol,Manual,4,8.25,11,Bangalore
3,Hyundai,Grand i10 Nios,5,Hatchback,1,Petrol,Manual,3,7.42,11,Bangalore
4,Hyundai,Aura,5,Sedan,1,CNG,Manual,,9.30,11,Bangalore
5,Tata,Altroz (2020-2025),5,Hatchback,1,Petrol,Manual,4,11.47,8,Bangalore
6,Hyundai,Venue,5,SUV,1,Petrol,Manual,4,9.77,11,Bangalore
7,Toyota,Glanza,5,Hatchback,1,Petrol,Manual,5,8.43,11,Bangalore
8,Hyundai,Creta,5,SUV,1,Petrol,Manual,12,14.05,11,Bangalore
9,Maruti Suzuki,Dzire,5,Sedan,1,Petrol,Manual,7,9.96,11,Bangalore
10,Honda,City,5,Sedan,1,Petrol,Automatic,6,20.40,11,Bangalore
11,Hyundai,i20 N Line,5,Hatchback,1,Petrol,Manual,7,12.18,11,Bangalore
12,Maruti Suzuki,Brezza,5,SUV,1,Petrol,Manual,5,10.88,11,Bangalore
13,Maruti Suzuki,S-Presso,5,SUV,1,Petrol,Manual,7,7.01,11,Bangalore
14,Mahindra,Scorpio-N,7,SUV,1,Petrol,Manual,3,17.77,11,Bangalore
15,Mahindra,Bolero,7,SUV,1,Diesel,Manual,2,11.97,60,Bangalore
16,Maruti Suzuki,XL6,6,SUV,1,Petrol,Manual,6,15.21,11,Bangalore
17,Maruti Suzuki,Ertiga,7,SUV,1,Petrol,Manual,6,11.01,70,Bangalore
18,Hyundai,Venue N-Line,5,SUV,1,Petrol,Automatic,5,16.27,11,Bangalore
19,Maruti Suzuki,Grand Vitara,5,SUV,1,Petrol,Manual,6,16.09,11,Bangalore
